"","YEAR","SEX","RACE","EDUC","AGE"
"314",1974,2,1,16,34
"315",1974,2,1,12,25
"316",1974,1,1,13,20
"317",1974,1,1,18,43
"318",1974,2,1,15,32
"319",1974,2,1,12,29
"320",1974,1,1,16,27
"321",1974,1,1,18,52
"322",1974,2,1,14,28
"323",1974,2,1,12,24
"324",1974,2,1,13,25
"325",1974,1,1,11,73
"326",1974,1,1,8,54
"327",1974,2,1,6,70
"328",1974,2,1,14,51
"329",1974,2,1,15,58
"330",1974,1,2,12,21
"331",1974,1,2,3,50
"332",1974,2,2,6,65
"333",1974,2,1,7,45
"334",1974,2,1,8,26
"335",1974,1,1,14,31
"336",1974,1,1,13,42
"337",1974,2,1,12,59
"338",1974,2,3,8,66
"339",1974,2,1,12,59
"340",1974,1,1,12,30
"341",1974,1,1,16,51
"342",1974,1,1,16,51
"343",1974,2,1,14,40
"344",1974,2,1,14,55
"345",1974,1,2,12,30
"346",1974,1,2,12,54
"347",1974,2,2,12,30
"348",1974,2,2,12,30
"349",1974,2,2,10,54
"350",1974,1,1,13,27
"351",1974,1,1,7,78
"352",1974,1,1,7,72
"353",1974,2,1,11,19
"354",1974,2,1,12,46
"355",1974,1,1,13,26
"356",1974,1,1,10,76
"357",1974,1,1,17,57
"358",1974,2,1,18,43
"359",1974,2,1,12,60
"360",1974,1,1,11,22
"361",1974,1,1,8,53
"362",1974,2,1,5,81
"363",1974,2,1,8,57
"364",1974,2,1,13,25
"365",1974,1,1,12,18
"366",1974,1,1,12,61
"367",1974,1,1,8,59
"368",1974,2,1,12,52
"369",1974,2,1,15,61
"370",1974,1,2,12,30
"371",1974,1,2,4,50
"372",1974,2,2,6,38
"373",1974,2,2,12,31
"374",1974,2,2,18,44
"375",1974,1,1,14,47
"376",1974,1,1,10,88
"377",1974,2,1,15,80
"378",1974,2,1,11,18
"379",1974,2,1,15,66
"380",1974,1,1,14,20
"381",1974,1,1,13,72
"382",1974,2,1,12,72
"383",1974,2,1,13,42
"384",1974,2,1,12,19
"385",1974,1,1,17,34
"386",1974,1,1,18,63
"387",1974,1,1,18,62
"388",1974,2,1,12,53
"389",1974,2,1,18,60
"390",1974,1,2,10,27
"391",1974,1,2,6,45
"392",1974,1,2,6,67
"393",1974,2,2,7,63
"394",1974,2,2,11,39
"395",1974,1,1,4,33
"396",1974,1,1,13,63
"397",1974,2,1,12,39
"398",1974,2,1,10,42
"399",1974,2,1,8,37
"400",1974,1,1,16,29
"401",1974,1,1,12,24
"402",1974,1,1,19,72
"403",1974,2,1,12,76
"404",1974,2,1,17,54
"405",1974,1,2,9,40
"406",1974,1,2,5,51
"407",1974,2,2,8,33
"408",1974,2,2,6,59
"409",1974,2,2,5,47
"410",1974,1,1,12,26
"411",1974,1,1,8,80
"412",1974,1,1,8,64
"413",1974,2,1,8,65
"414",1974,2,1,12,61
"415",1974,1,1,14,21
"416",1974,1,1,14,40
"417",1974,1,1,5,74
"418",1974,2,1,12,38
"419",1974,2,1,16,27
"420",1974,1,1,18,26
"421",1974,1,1,16,51
"422",1974,2,1,14,51
"423",1974,2,1,14,44
"424",1974,2,1,17,47
"425",1974,1,1,10,27
"426",1974,1,1,10,45
"427",1974,2,1,12,53
"428",1974,2,1,12,22
"429",1974,2,1,12,51
"430",1974,1,1,14,20
"431",1974,1,1,16,76
"432",1974,1,1,16,69
"433",1974,2,2,10,39
"434",1974,2,1,10,47
"435",1974,1,1,12,19
"436",1974,1,1,8,56
"437",1974,1,1,12,57
"438",1974,2,1,12,20
"439",1974,2,1,13,49
"440",1974,1,1,9,23
"441",1974,1,1,12,56
"442",1974,2,1,10,25
"443",1974,2,1,12,65
"444",1974,2,1,11,56
"445",1974,1,1,16,26
"446",1974,1,1,20,36
"447",1974,2,1,5,79
"448",1974,2,1,12,60
"449",1974,2,1,14,54
"450",1974,1,2,15,30
"451",1974,1,1,16,25
"452",1974,1,1,10,70
"453",1974,2,1,12,23
"454",1974,2,1,12,20
"455",1974,2,1,9,46
"456",1974,1,1,16,43
"457",1974,1,1,16,36
"458",1974,2,1,16,24
"459",1974,2,1,16,24
"460",1974,2,1,16,30
"461",1974,1,1,12,27
"462",1974,1,1,12,51
"463",1974,2,1,12,36
"464",1974,2,1,9,78
"465",1974,2,1,13,30
"466",1974,1,2,16,26
"467",1974,1,2,11,38
"468",1974,2,2,10,42
"469",1974,2,1,11,31
"470",1974,2,1,14,21
"471",1974,1,1,12,31
"472",1974,1,1,12,63
"473",1974,2,1,12,31
"474",1974,2,1,11,40
"475",1974,2,3,12,43
"476",1974,1,2,10,47
"477",1974,1,2,10,48
"478",1974,2,2,11,44
"479",1974,2,2,13,34
"480",1974,2,2,13,42
